time,packetlength,payloadlength
2.688382,583,517
2.68969,896,830
2.689949,66,0
2.692569,392,326
2.706966,125,59
2.707399,66,0
2.708543,151,85
2.710227,295,229
2.710565,66,0
2.713134,103,37
2.713401,66,0
2.713669,66,0
2.713805,54,0
2.715668,74,0
2.716106,74,0
2.716385,66,0
2.718032,111,45
2.724211,66,0
2.725645,85,19
2.725926,66,0
2.729025,583,517
2.729892,896,830
2.7302,66,0
2.731631,392,326
2.746232,125,59
2.746615,66,0
2.749027,535,469
2.750967,215,149
2.751309,66,0
2.752297,119,53
2.752714,103,37
2.753208,66,0
2.753699,103,37
2.754504,119,53
2.75496,119,53
2.755619,119,53
2.755995,119,53
2.756726,119,53
2.757061,119,53
2.758001,119,53
2.758366,119,53
2.759098,119,53
2.759548,119,53
2.760098,119,53
2.76042,119,53
2.761006,119,53
2.761512,119,53
2.762375,455,389
2.763331,135,69
2.807563,66,0
2.939981,519,453
2.940684,66,0
2.941372,535,469
2.941784,135,69
2.941927,183,117
2.9423,135,69
2.942311,135,69
2.942721,151,85
2.942863,66,0
2.943185,135,69
2.943214,135,69
2.943563,66,0
2.943921,66,0
2.94396,135,69
2.944686,66,0
2.956771,151,85
2.957468,66,0
3.208704,151,85
3.209115,66,0
3.210246,135,69
3.210665,151,85
3.211895,66,0
3.243127,1514,1448
3.243234,1514,1448
3.2433,1447,1381
3.244058,66,0
3.244898,103,37
3.286685,66,0
3.324613,1514,1448
3.324716,1514,1448
3.324763,1447,1381
3.324958,66,0
3.356975,1514,1448
3.357082,1514,1448
3.357142,1447,1381
3.357295,66,0
3.364358,1514,1448
3.364462,1514,1448
3.364509,1447,1381
3.364662,66,0
3.364905,66,0
3.387559,103,37
3.387938,66,0
3.441205,74,0
3.441786,74,0
3.442205,66,0
3.44449,111,45
3.558541,66,0
3.56812,85,19
3.568446,66,0
3.570464,583,517
3.578141,896,830
3.578495,66,0
3.580427,392,326
3.604441,125,59
3.604852,66,0
3.606772,599,533
3.609604,215,149
3.610804,119,53
3.611314,103,37
3.614059,66,0
3.614665,103,37
3.615419,119,53
3.616688,119,53
3.619468,119,53
3.620596,119,53
3.624351,119,53
3.625309,119,53
3.627648,119,53
3.628682,119,53
3.6308,119,53
3.631624,119,53
3.634326,119,53
3.634887,119,53
3.636576,119,53
3.637981,119,53
3.641235,455,389
3.769691,135,69
3.81159,66,0
4.146886,519,453
4.147317,66,0
4.149503,535,469
4.150253,135,69
4.150518,135,69
4.151169,66,0
4.151947,66,0
4.152916,183,117
4.154123,135,69
4.154527,66,0
4.154663,135,69
4.154919,66,0
4.155326,151,85
4.15586,135,69
4.156281,66,0
4.156457,135,69
4.173666,151,85
4.174453,66,0
4.376297,151,85
4.419658,66,0
4.669239,1514,1448
4.669364,1514,1448
4.669413,1447,1381
4.66969,66,0
4.7044,1514,1448
4.7045,1514,1448
4.704556,1447,1381
4.704772,66,0
4.735383,1514,1448
4.73548,1514,1448
4.735532,1447,1381
4.735711,66,0
4.766521,1514,1448
4.766717,1514,1448
4.76677,1447,1381
4.766799,66,0
4.767192,66,0
4.797832,1514,1448
4.79793,1514,1448
4.797981,1447,1381
4.798375,66,0
4.829043,1514,1448
4.82914,1514,1448
4.829195,1447,1381
4.829477,66,0
4.859974,1514,1448
4.860061,1514,1448
4.860279,1447,1381
4.862156,66,0
4.862595,66,0
4.891581,1514,1448
4.891703,1514,1448
4.89175,1447,1381
4.891928,66,0
4.923033,1514,1448
4.923125,1514,1448
4.923173,1447,1381
4.923514,66,0
4.953815,1514,1448
4.953933,1514,1448
4.954058,1447,1381
4.954228,66,0
4.95452,66,0
5.001043,1514,1448
5.001218,1514,1448
5.001273,1447,1381
5.001413,66,0
5.001702,66,0
5.031415,1514,1448
5.031517,1514,1448
5.031638,1447,1381
5.031758,66,0
5.032327,66,0
5.062413,1514,1448
5.062495,1514,1448
5.062534,1447,1381
5.06318,66,0
5.093838,1514,1448
5.093942,1514,1448
5.094058,1447,1381
5.09438,66,0
5.125461,1514,1448
5.125597,1514,1448
5.125732,1447,1381
5.125833,66,0
5.126432,66,0
5.15604,1514,1448
5.156138,1514,1448
5.156187,1447,1381
5.156857,66,0
5.265614,103,37
5.266334,66,0
5.396404,103,37
5.397015,66,0
5.540563,1514,1448
5.540829,1514,1448
5.540958,1447,1381
5.541612,66,0
6.170151,1514,1448
6.170246,1514,1448
6.170293,1514,1448
6.170342,1514,1448
6.170393,1514,1448
6.170485,1514,1448
6.170616,1514,1448
6.17068,66,0
6.170796,1039,973
6.171264,66,0
6.179215,1514,1448
6.179297,1514,1448
6.179346,1514,1448
6.179394,1514,1448
6.179436,311,245
6.179567,66,0
6.179885,66,0
6.180605,1514,1448
6.180669,1514,1448
6.180717,1514,1448
6.180745,66,0
6.180766,1514,1448
6.180807,807,741
6.1811,66,0
6.181194,199,133
6.181329,66,0
6.279941,1514,1448
6.280029,1514,1448
6.280072,1431,1365
6.280534,66,0
6.388782,1514,1448
6.389338,66,0
6.389666,1407,1341
6.389905,66,0
6.497786,1514,1448
6.497903,463,397
6.498112,66,0
6.606682,1514,1448
6.606782,447,381
6.607334,66,0
6.747,1514,1448
6.747102,1375,1309
6.747395,66,0
6.88746,1514,1448
6.887578,1375,1309
6.887899,66,0
6.997449,1514,1448
6.997539,1359,1293
6.997834,66,0
7.106134,1514,1448
7.106238,479,413
7.106478,66,0
7.215687,119,53
7.216054,66,0
7.324702,119,53
7.325015,66,0
7.433466,119,53
7.43379,66,0
7.520861,135,69
7.521218,66,0
7.522472,135,69
7.523037,151,85
7.523603,66,0
7.524562,199,133
7.524804,66,0
7.525783,199,133
7.526663,135,69
7.526929,66,0
7.527732,135,69
7.542784,119,53
7.587334,66,0
7.995533,135,69
7.995862,66,0
8.105241,1514,1448
8.105339,1514,1448
8.105387,1514,1448
8.105436,1514,1448
8.105487,1514,1448
8.105536,1514,1448
8.105592,1514,1448
8.105642,1514,1448
8.105695,1514,1448
8.105747,1514,1448
8.105806,423,357
8.105863,66,0
8.106648,66,0
8.107113,1514,1448
8.107247,1514,1448
8.10731,1514,1448
8.107366,431,365
8.107396,66,0
8.107743,66,0
8.684755,1514,1448
8.68484,1514,1448
8.685063,1514,1448
8.685125,1514,1448
8.685192,66,0
8.685463,66,0
8.685662,66,0
8.685931,66,0
8.686152,66,0
8.686739,1514,1448
8.686834,1514,1448
8.687085,66,0
8.687285,66,0
8.687872,1514,1448
8.687922,1514,1448
8.688312,66,0
8.688496,66,0
8.688862,66,0
8.689128,1514,1448
8.689184,1514,1448
8.689365,1514,1448
8.689385,66,0
8.689417,1514,1448
8.68966,66,0
8.689744,1514,1448
8.689794,1514,1448
8.689947,66,0
8.689974,1514,1448
8.690027,1514,1448
8.690188,66,0
8.690379,1514,1448
8.690387,66,0
8.690432,1514,1448
8.690744,1514,1448
8.690753,66,0
8.690801,1514,1448
8.690853,1514,1448
8.690898,1514,1448
8.690945,1514,1448
8.691001,1514,1448
8.691077,66,0
8.691395,66,0
8.691627,66,0
8.691863,66,0
8.692524,66,0
8.69277,66,0
8.693002,66,0
8.693235,66,0
8.693512,66,0
8.693763,66,0
8.694043,66,0
8.694271,66,0
8.694387,1514,1448
8.694433,1514,1448
8.694471,1514,1448
8.694519,1514,1448
8.694557,1514,1448
8.694609,1514,1448
8.69511,66,0
8.696265,66,0
8.696722,66,0
8.697702,66,0
8.697944,66,0
8.698209,66,0
8.698449,66,0
8.698767,66,0
8.699027,66,0
8.699268,66,0
8.70402,1514,1448
8.704095,1514,1448
8.70428,1514,1448
8.704334,1514,1448
8.704373,1514,1448
8.704384,66,0
8.70441,1514,1448
8.704457,1514,1448
8.704497,1514,1448
8.704543,1514,1448
8.704593,1514,1448
8.704639,1514,1448
8.70479,66,0
8.704877,1514,1448
8.704929,1514,1448
8.704976,1514,1448
8.705039,1514,1448
8.705095,1514,1448
8.705126,66,0
8.70514,1514,1448
8.705187,1514,1448
8.705232,1514,1448
8.705281,1514,1448
8.705596,66,0
8.70573,1514,1448
8.705788,1514,1448
8.705833,1514,1448
8.705883,1514,1448
8.70612,66,0
8.706383,1514,1448
8.706409,66,0
8.706429,1514,1448
8.706478,1514,1448
8.706524,1514,1448
8.706573,1514,1448
