time,packetlength,payloadlength
2.707399,66,0
2.716385,66,0
2.746615,66,0
2.755619,119,53
2.761006,119,53
2.941927,183,117
2.944686,66,0
3.243127,1514,1448
3.356975,1514,1448
3.387938,66,0
3.578495,66,0
3.615419,119,53
3.634326,119,53
4.146886,519,453
4.154663,135,69
4.73548,1514,1448
4.797981,1447,1381
4.862595,66,0
4.953933,1514,1448
5.031517,1514,1448
5.093838,1514,1448
5.156138,1514,1448
5.541612,66,0
6.17068,66,0
6.180605,1514,1448
6.280029,1514,1448
6.606682,1514,1448
6.997539,1359,1293
7.325015,66,0
7.525783,199,133
8.105747,1514,1448
8.684755,1514,1448
8.686834,1514,1448
8.689365,1514,1448
8.690379,1514,1448
8.691077,66,0
8.694043,66,0
8.696722,66,0
8.70428,1514,1448
8.70479,66,0
8.705281,1514,1448
8.706478,1514,1448
8.707098,1514,1448
8.708709,1514,1448
8.709453,1514,1448
8.710464,66,0
8.71274,66,0
8.713867,154,88
8.71597,1514,1448
8.716804,66,0
8.718709,66,0
8.721748,66,0
8.730184,498,432
8.732196,66,0
8.742778,66,0
8.744273,1514,1448
8.746806,1514,1448
8.7478,1514,1448
8.767548,1514,1448
8.774098,1514,1448
8.776743,154,88
8.783153,1514,1448
8.785609,66,0
8.794704,1514,1448
8.800316,66,0
8.802899,66,0
8.806381,1514,1448
8.810381,66,0
8.814016,66,0
8.818223,66,0
8.821429,66,0
8.823895,66,0
8.825333,1514,1448
8.825922,1514,1448
8.827032,1514,1448
8.831969,66,0
8.834111,1514,1448
8.837852,66,0
8.840099,66,0
8.842458,410,344
8.845577,1514,1448
8.850707,66,0
8.854172,66,0
8.857391,66,0
8.85922,1514,1448
8.860871,1514,1448
8.862092,1514,1448
8.869313,66,0
8.872805,66,0
8.875573,66,0
8.878562,66,0
8.888798,1514,1448
8.89077,1514,1448
8.892934,1514,1448
8.896133,66,0
8.899291,66,0
